publisher_name,donor_code,donornameE,agency_code,crs_agency_name,loc_agency_acronym,agencynameE,total_usd_disbursement,usd_extended_defl,Status
NA,742,Korea,1,MOSF,MOSF,Ministry of Strategy and Finance,19.530131,315.4354463,non-iati
NA,742,Korea,2,KEXIM,KEXIM,Export-Import Bank of Korea,7740.907525,NA,non-iati
NA,742,Korea,3,MOFAT,MOFAT,Ministry of Foreign Affairs and Trade,113.435438,67.78799318,non-iati
NA,742,Korea,4,KOICA,KOICA,Korea International Cooperation Agency,551.152917,NA,non-iati
NA,742,Korea,99,MISC,MISC,Miscellaneous,194.078442,57.67296831,non-iati
NA,552,Kuwait [KFAED],1,KFAED,Kuwait Fund for Arab Economic Development (KFAED),NULL,366.1675818,NA,non-iati
NA,552,Kuwait [KFAED],2,NULL,Government Grants administered by KFAED,NULL,183.7523683,NA,non-iati
"Lithuania, Ministry of Foreign Affairs",84,Lithuania,1,GOV,NULL,NULL,0.2242229,30.77180063,multilateral_added
"Lithuania, Ministry of Foreign Affairs",84,Lithuania,2,MFA,NULL,NULL,4.365380259,0.407354124,multilateral_added
"Lithuania, Ministry of Foreign Affairs",84,Lithuania,3,DEF,NULL,NULL,0.29071833,0.0639,multilateral_added
"Lithuania, Ministry of Foreign Affairs",84,Lithuania,4,ENV,NULL,NULL,0.4140943,1.081514509,multilateral_added
"Lithuania, Ministry of Foreign Affairs",84,Lithuania,5,FIN,NULL,NULL,0.1905673,5.901884184,multilateral_added
"Lithuania, Ministry of Foreign Affairs",84,Lithuania,6,ECON,NULL,NULL,0.039800763,0.253283707,multilateral_added
"Lithuania, Ministry of Foreign Affairs",84,Lithuania,7,EDUC,NULL,NULL,1.286452339,0.00891,multilateral_added
"Lithuania, Ministry of Foreign Affairs",84,Lithuania,8,NULL,NULL,NULL,0.00103755,0.303001928,multilateral_added
"Lithuania, Ministry of Foreign Affairs",84,Lithuania,10,MoH,NULL,NULL,0.0113848,0.085,multilateral_added
"Lithuania, Ministry of Foreign Affairs",84,Lithuania,11,AGRI,NULL,NULL,0.00648235,0.02298,multilateral_added
"Lithuania, Ministry of Foreign Affairs",84,Lithuania,12,INT,NULL,NULL,0.009473261,NA,checked
"Lithuania, Ministry of Foreign Affairs",84,Lithuania,13,NULL,NULL,NULL,0.01000969,NA,checked
"Lithuania, Ministry of Foreign Affairs",84,Lithuania,20,NULL,NULL,NULL,0.00818499,NA,checked
"Lithuania, Ministry of Foreign Affairs",84,Lithuania,30,NULL,NULL,NULL,0.02204086,NA,checked
NA,22,Luxembourg,2,MFA,MFA,Ministry of Foreign Affairs,304.5438943,122.1203348,non-iati
Netherlands - Ministry of Foreign Affairs,7,Netherlands,1,MFA,MFA,Ministry of Foreign Affairs (DGIS),4180.104554,1531.930095,checked
NA,7,Netherlands,33,NCM,Atradius,Atradius,NULL,NA,non-iati
NA,820,New Zealand,1,NZG,NZG,Ministry of Foreign Affairs and Trade,389.8157323,90.07482477,non-iati
NA,820,New Zealand,99,MISC,MISC,Miscellaneous,20.8741425,4.322547581,non-iati
NA,104,Nordic Development Fund [NDF],1,NDF,NULL,NULL,49.600566,NA,non-iati
Norad - Norwegian Agency for Development Cooperation,8,Norway,1,NORAD,NORAD,Norwegian Agency for Development Co-operation,848.197092,29.90191121,checked
Norad - Norwegian Agency for Development Cooperation,8,Norway,4,MFA,MFA,Ministry of Foreign Affairs,2908.857452,1242.510959,checked
NA,8,Norway,7,IN,IN,Innovation Norway,0.601565,NA,non-iati
NA,8,Norway,8,NORFUND,NORFUND,NORFUND,520.0596424,NA,non-iati
NA,8,Norway,9,FK,FK,FK Norway,34.08315167,NA,non-iati
NA,8,Norway,10,OAG,OAG,Office of the Auditor General,1.9912031,NA,non-iati
NA,8,Norway,11,DEF,DEF,Ministry of Defence,4.031213,NA,non-iati
NA,8,Norway,12,ENV,ENV,Ministry of Climate and Environment,116.351789,NA,non-iati
NA,8,Norway,99,MISC,MISC,Miscellaneous,NULL,NA,non-iati
The OPEC Fund for International Development (OFID),951,OPEC Fund for International Development [OFID],1,OFID,NULL,NULL,1148.289426,NA,checked
NA,978,OSCE,1,OSCE,NULL,NULL,130.509138,NA,non-iati
NA,76,Poland,1,MFA,MFA,Ministry of Foreign Affairs,30.11630798,69.52482603,non-iati
NA,76,Poland,2,MSHE,MSHE,Ministry of Science and Higher Education,27.24621838,NA,non-iati
NA,76,Poland,3,INT,MI,Ministry of the Interior,1.807899057,NA,non-iati
NA,76,Poland,4,MCNH,MCNH,Ministry of Culture and National Heritage,2.921231497,0.00111,non-iati
NA,76,Poland,5,FIN,MF,Ministry of Finance,38.342044,285.4352831,non-iati
NA,76,Poland,6,ENV,ME,Ministry of the Environment,0.403672,2.665746533,non-iati
NA,76,Poland,99,MISC,MISC,Miscellaneous,2.71450939,7.755548982,non-iati
NA,9,Portugal,1,GP,GP,Portuguese Government,259.4442334,182.2308566,non-iati
